Fecha.DOF|TC
01/02/2008|10.8262
02/02/2008|N/E
03/02/2008|N/E
04/02/2008|N/E
05/02/2008|10.8138
06/02/2008|10.8289
07/02/2008|10.8227
08/02/2008|10.8040
09/02/2008|N/E
10/02/2008|N/E
11/02/2008|10.7575
12/02/2008|10.7736
13/02/2008|10.7465
14/02/2008|10.7509
15/02/2008|10.7413
16/02/2008|N/E
17/02/2008|N/E
18/02/2008|10.7653
19/02/2008|10.7350
20/02/2008|10.7489
21/02/2008|10.7939
22/02/2008|10.7980
23/02/2008|N/E
24/02/2008|N/E
25/02/2008|10.7818
26/02/2008|10.7855
27/02/2008|10.7430
28/02/2008|10.7344
29/02/2008|10.6813
01/03/2008|N/E
02/03/2008|N/E
03/03/2008|10.7243
04/03/2008|10.7046
05/03/2008|10.7098
06/03/2008|10.6978
07/03/2008|10.7649
08/03/2008|N/E
09/03/2008|N/E
10/03/2008|10.8383
11/03/2008|10.8478
12/03/2008|10.7965
13/03/2008|10.7735
14/03/2008|10.7778
15/03/2008|N/E
16/03/2008|N/E
17/03/2008|N/E
18/03/2008|10.7613
19/03/2008|10.7040
20/03/2008|N/E
21/03/2008|N/E
22/03/2008|N/E
23/03/2008|N/E
24/03/2008|10.6944
25/03/2008|10.6748
26/03/2008|10.6793
27/03/2008|10.6957
28/03/2008|10.6962
29/03/2008|N/E
30/03/2008|N/E
31/03/2008|10.6987
01/04/2008|10.6482
02/04/2008|10.5985
03/04/2008|10.5557
04/04/2008|10.5644
05/04/2008|N/E
06/04/2008|N/E
07/04/2008|10.5590
08/04/2008|10.5395
09/04/2008|10.5610
10/04/2008|10.5552
11/04/2008|10.5503
12/04/2008|N/E
13/04/2008|N/E
14/04/2008|10.5337
15/04/2008|10.4919
16/04/2008|10.4843
17/04/2008|10.4579
18/04/2008|10.4828
19/04/2008|N/E
20/04/2008|N/E
21/04/2008|10.4610
22/04/2008|10.5223
23/04/2008|10.5181
24/04/2008|10.4868
25/04/2008|10.4620
26/04/2008|N/E
27/04/2008|N/E
28/04/2008|10.4702
29/04/2008|10.4464
30/04/2008|10.5272
01/05/2008|N/E
02/05/2008|10.5095
03/05/2008|N/E
04/05/2008|N/E
05/05/2008|10.4585
06/05/2008|10.4687
07/05/2008|10.4937
08/05/2008|10.5390
09/05/2008|10.5465
10/05/2008|N/E
11/05/2008|N/E
12/05/2008|10.5666
13/05/2008|10.5058
